Planning Area,Total,No Qualification,Primary,Lower Secondary,Secondary,Post-Secondary (Non-Tertiary),Polytechnic,Professional Qualification and Other Diploma,University
Total,"2,779,524 ","424,443 ","193,181 ","282,523 ","526,359 ","307,562 ","250,213 ","161,144 ","634,098 "
Ang Mo Kio,"140,471 ","28,602 ","11,235 ","15,798 ","24,569 ","13,592 ","11,731 ","7,162 ","27,783 "
Bedok,"222,290 ","33,901 ","14,542 ","22,563 ","41,999 ","24,186 ","17,438 ","12,986 ","54,675 "
Bishan,"68,301 ","7,486 ","3,189 ","5,256 ","12,913 ","7,417 ","5,384 ","4,621 ","22,035 "
Bukit Batok,"106,726 ","14,604 ","6,677 ","9,735 ","19,178 ","11,781 ","10,103 ","6,282 ","28,365 "
Bukit Merah,"123,946 ","28,790 ","10,278 ","13,063 ","20,455 ","10,390 ","8,935 ","5,841 ","26,196 "
Bukit Panjang,"93,135 ","14,065 ","7,036 ","9,782 ","17,642 ","11,741 ","9,701 ","5,162 ","18,007 "
Bukit Timah,"49,294 ","2,487 ",891 ,"1,869 ","5,346 ","4,865 ","2,862 ","3,400 ","27,575 "
Changi,"1,630 ",151 ,77 ,144 ,413 ,273 ,273 ,125 ,174 
Choa Chu Kang,"122,694 ","15,609 ","8,707 ","12,562 ","24,567 ","14,923 ","13,239 ","7,377 ","25,711 "
Clementi,"69,660 ","11,044 ","4,651 ","6,776 ","11,794 ","6,565 ","5,462 ","3,955 ","19,413 "
Downtown Core,"3,104 ",547 ,248 ,243 ,450 ,262 ,185 ,159 ,"1,010 "
Geylang,"93,036 ","18,653 ","7,691 ","10,382 ","17,150 ","9,774 ","7,301 ","4,723 ","17,361 "
Hougang,"159,847 ","26,236 ","11,679 ","17,958 ","32,604 ","17,289 ","14,922 ","8,793 ","30,366 "
Jurong East,"65,983 ","10,488 ","4,919 ","6,777 ","12,647 ","7,260 ","6,393 ","3,671 ","13,827 "
Jurong West,"194,853 ","30,025 ","15,505 ","22,365 ","36,775 ","24,904 ","19,117 ","11,482 ","34,678 "
Kallang,"78,049 ","16,966 ","6,792 ","8,317 ","12,938 ","6,944 ","5,543 ","3,859 ","16,689 "
Mandai,"1,186 ",137 ,19 ,110 ,227 ,124 ,113 ,56 ,399 
Marine Parade,"34,601 ","4,186 ","1,455 ","2,922 ","5,860 ","3,649 ","2,204 ","2,148 ","12,178 "
Newton,"4,289 ",93 ,62 ,72 ,444 ,368 ,128 ,333 ,"2,789 "
Novena,"34,740 ","4,823 ","1,910 ","2,646 ","5,526 ","3,432 ","2,184 ","2,151 ","12,068 "
Outram,"14,253 ","4,189 ","1,824 ","1,605 ","2,311 ",921 ,865 ,446 ,"2,090 "
Pasir Ris,"91,039 ","7,639 ","4,557 ","7,972 ","21,288 ","12,746 ","9,798 ","6,329 ","20,710 "
Punggol,"43,112 ","4,408 ","2,205 ","3,471 ","8,096 ","4,778 ","5,203 ","3,309 ","11,642 "
Queenstown,"74,445 ","13,711 ","5,277 ","6,944 ","12,517 ","6,365 ","5,436 ","4,067 ","20,128 "
River Valley,"5,932 ",216 ,122 ,273 ,620 ,481 ,252 ,391 ,"3,578 "
Rochor,"11,847 ","2,378 ","1,150 ","1,412 ","2,045 ","1,111 ",894 ,552 ,"2,304 "
Sembawang,"51,545 ","5,961 ","3,253 ","4,851 ","9,420 ","6,175 ","6,067 ","3,475 ","12,343 "
Sengkang,"119,907 ","15,108 ","7,558 ","11,843 ","22,461 ","13,043 ","12,868 ","7,792 ","29,235 "
Serangoon,"92,439 ","11,888 ","5,587 ","8,370 ","17,608 ","9,673 ","8,141 ","5,827 ","25,345 "
Singapore River,"1,308 ",37 ,  -  ,26 ,116 ,131 ,51 ,36 ,910 
Tampines,"188,601 ","25,205 ","12,195 ","19,487 ","42,260 ","23,514 ","18,939 ","10,891 ","36,110 "
Tanglin,"12,262 ",316 ,72 ,349 ,"1,141 ","1,036 ",495 ,867 ,"7,985 "
Toa Payoh,"96,521 ","18,776 ","7,325 ","10,158 ","18,270 ","9,370 ","7,847 ","5,261 ","19,515 "
Woodlands,"170,639 ","23,796 ","12,987 ","20,342 ","36,247 ","22,387 ","17,412 ","9,823 ","27,645 "
Yishun,"135,678 ","21,804 ","11,475 ","16,018 ","28,269 ","15,916 ","12,601 ","7,671 ","21,924 "
Others,"2,163 ",114 ,32 ,62 ,190 ,176 ,128 ,123 ,"1,337 "
