"","Planning_Area","Post Secondary (Polytechnic/Diploma)","Year","Education","Education_count","Housing","Housing_count","Income","Income_count"
"1","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: HDB 1-3 Rooms",281993,"Income: No Working Person",120010
"2","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: HDB 1-3 Rooms",281993,"Income: Below $1,000",40566
"3","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: HDB 1-3 Rooms",281993,"Income: $1,000 to $2,999",173691
"4","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: HDB 1-3 Rooms",281993,"Income: $3,000 to $4,999",185754
"5","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: HDB 1-3 Rooms",281993,"Income: $5,000 to $9,999",333233
"6","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: HDB 1-3 Rooms",281993,"Income: $10,000 & Over",292666
"7","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: HDB 4-5 Rooms",658759,"Income: No Working Person",120010
"8","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: HDB 4-5 Rooms",658759,"Income: Below $1,000",40566
"9","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: HDB 4-5 Rooms",658759,"Income: $1,000 to $2,999",173691
"10","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: HDB 4-5 Rooms",658759,"Income: $3,000 to $4,999",185754
"11","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: HDB 4-5 Rooms",658759,"Income: $5,000 to $9,999",333233
"12","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: HDB 4-5 Rooms",658759,"Income: $10,000 & Over",292666
"13","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Condominiums and Other Apartments",131986,"Income: No Working Person",120010
"14","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Condominiums and Other Apartments",131986,"Income: Below $1,000",40566
"15","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Condominiums and Other Apartments",131986,"Income: $1,000 to $2,999",173691
"16","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Condominiums and Other Apartments",131986,"Income: $3,000 to $4,999",185754
"17","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Condominiums and Other Apartments",131986,"Income: $5,000 to $9,999",333233
"18","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Condominiums and Other Apartments",131986,"Income: $10,000 & Over",292666
"19","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Landed Properties",64908,"Income: No Working Person",120010
"20","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Landed Properties",64908,"Income: Below $1,000",40566
"21","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Landed Properties",64908,"Income: $1,000 to $2,999",173691
"22","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Landed Properties",64908,"Income: $3,000 to $4,999",185754
"23","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Landed Properties",64908,"Income: $5,000 to $9,999",333233
"24","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Landed Properties",64908,"Income: $10,000 & Over",292666
"25","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Others",5332,"Income: No Working Person",120010
"26","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Others",5332,"Income: Below $1,000",40566
"27","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Others",5332,"Income: $1,000 to $2,999",173691
"28","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Others",5332,"Income: $3,000 to $4,999",185754
"29","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Others",5332,"Income: $5,000 to $9,999",333233
"30","Total",718919,"1/1/2010","Education: No Qualification",424443,"Housing: Others",5332,"Income: $10,000 & Over",292666
"31","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: HDB 1-3 Rooms",281993,"Income: No Working Person",120010
"32","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: HDB 1-3 Rooms",281993,"Income: Below $1,000",40566
"33","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: HDB 1-3 Rooms",281993,"Income: $1,000 to $2,999",173691
"34","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: HDB 1-3 Rooms",281993,"Income: $3,000 to $4,999",185754
"35","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: HDB 1-3 Rooms",281993,"Income: $5,000 to $9,999",333233
"36","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: HDB 1-3 Rooms",281993,"Income: $10,000 & Over",292666
"37","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: HDB 4-5 Rooms",658759,"Income: No Working Person",120010
"38","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: HDB 4-5 Rooms",658759,"Income: Below $1,000",40566
"39","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: HDB 4-5 Rooms",658759,"Income: $1,000 to $2,999",173691
"40","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: HDB 4-5 Rooms",658759,"Income: $3,000 to $4,999",185754
"41","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: HDB 4-5 Rooms",658759,"Income: $5,000 to $9,999",333233
"42","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: HDB 4-5 Rooms",658759,"Income: $10,000 & Over",292666
"43","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Condominiums and Other Apartments",131986,"Income: No Working Person",120010
"44","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Condominiums and Other Apartments",131986,"Income: Below $1,000",40566
"45","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Condominiums and Other Apartments",131986,"Income: $1,000 to $2,999",173691
"46","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Condominiums and Other Apartments",131986,"Income: $3,000 to $4,999",185754
"47","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Condominiums and Other Apartments",131986,"Income: $5,000 to $9,999",333233
"48","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Condominiums and Other Apartments",131986,"Income: $10,000 & Over",292666
"49","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Landed Properties",64908,"Income: No Working Person",120010
"50","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Landed Properties",64908,"Income: Below $1,000",40566
"51","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Landed Properties",64908,"Income: $1,000 to $2,999",173691
"52","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Landed Properties",64908,"Income: $3,000 to $4,999",185754
"53","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Landed Properties",64908,"Income: $5,000 to $9,999",333233
"54","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Landed Properties",64908,"Income: $10,000 & Over",292666
"55","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Others",5332,"Income: No Working Person",120010
"56","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Others",5332,"Income: Below $1,000",40566
"57","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Others",5332,"Income: $1,000 to $2,999",173691
"58","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Others",5332,"Income: $3,000 to $4,999",185754
"59","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Others",5332,"Income: $5,000 to $9,999",333233
"60","Total",718919,"1/1/2010","Education: Primary to Secondary",1002063,"Housing: Others",5332,"Income: $10,000 & Over",292666
"61","Total",718919,"1/1/2010","Education: University",634098,"Housing: HDB 1-3 Rooms",281993,"Income: No Working Person",120010
"62","Total",718919,"1/1/2010","Education: University",634098,"Housing: HDB 1-3 Rooms",281993,"Income: Below $1,000",40566
"63","Total",718919,"1/1/2010","Education: University",634098,"Housing: HDB 1-3 Rooms",281993,"Income: $1,000 to $2,999",173691
"64","Total",718919,"1/1/2010","Education: University",634098,"Housing: HDB 1-3 Rooms",281993,"Income: $3,000 to $4,999",185754
"65","Total",718919,"1/1/2010","Education: University",634098,"Housing: HDB 1-3 Rooms",281993,"Income: $5,000 to $9,999",333233
"66","Total",718919,"1/1/2010","Education: University",634098,"Housing: HDB 1-3 Rooms",281993,"Income: $10,000 & Over",292666
"67","Total",718919,"1/1/2010","Education: University",634098,"Housing: HDB 4-5 Rooms",658759,"Income: No Working Person",120010
"68","Total",718919,"1/1/2010","Education: University",634098,"Housing: HDB 4-5 Rooms",658759,"Income: Below $1,000",40566
"69","Total",718919,"1/1/2010","Education: University",634098,"Housing: HDB 4-5 Rooms",658759,"Income: $1,000 to $2,999",173691
"70","Total",718919,"1/1/2010","Education: University",634098,"Housing: HDB 4-5 Rooms",658759,"Income: $3,000 to $4,999",185754
"71","Total",718919,"1/1/2010","Education: University",634098,"Housing: HDB 4-5 Rooms",658759,"Income: $5,000 to $9,999",333233
"72","Total",718919,"1/1/2010","Education: University",634098,"Housing: HDB 4-5 Rooms",658759,"Income: $10,000 & Over",292666
"73","Total",718919,"1/1/2010","Education: University",634098,"Housing: Condominiums and Other Apartments",131986,"Income: No Working Person",120010
"74","Total",718919,"1/1/2010","Education: University",634098,"Housing: Condominiums and Other Apartments",131986,"Income: Below $1,000",40566
"75","Total",718919,"1/1/2010","Education: University",634098,"Housing: Condominiums and Other Apartments",131986,"Income: $1,000 to $2,999",173691
"76","Total",718919,"1/1/2010","Education: University",634098,"Housing: Condominiums and Other Apartments",131986,"Income: $3,000 to $4,999",185754
"77","Total",718919,"1/1/2010","Education: University",634098,"Housing: Condominiums and Other Apartments",131986,"Income: $5,000 to $9,999",333233
"78","Total",718919,"1/1/2010","Education: University",634098,"Housing: Condominiums and Other Apartments",131986,"Income: $10,000 & Over",292666
"79","Total",718919,"1/1/2010","Education: University",634098,"Housing: Landed Properties",64908,"Income: No Working Person",120010
"80","Total",718919,"1/1/2010","Education: University",634098,"Housing: Landed Properties",64908,"Income: Below $1,000",40566
"81","Total",718919,"1/1/2010","Education: University",634098,"Housing: Landed Properties",64908,"Income: $1,000 to $2,999",173691
"82","Total",718919,"1/1/2010","Education: University",634098,"Housing: Landed Properties",64908,"Income: $3,000 to $4,999",185754
"83","Total",718919,"1/1/2010","Education: University",634098,"Housing: Landed Properties",64908,"Income: $5,000 to $9,999",333233
"84","Total",718919,"1/1/2010","Education: University",634098,"Housing: Landed Properties",64908,"Income: $10,000 & Over",292666
"85","Total",718919,"1/1/2010","Education: University",634098,"Housing: Others",5332,"Income: No Working Person",120010
"86","Total",718919,"1/1/2010","Education: University",634098,"Housing: Others",5332,"Income: Below $1,000",40566
"87","Total",718919,"1/1/2010","Education: University",634098,"Housing: Others",5332,"Income: $1,000 to $2,999",173691
